Source apportionment for 150 cities
commit BD handover version 23 March 2020
emissions cdf = ../20220601_01_005/BCemis_emepV434_camsV42_01_005_bugSOxGNFr3ok.nc
concentrations cdf = ../20220601_01_005/BCconc_emepV434_camsv42_01005_SURF_ug_PM25_rh50.nc
model folder = ../20220601_01_005/SR_SURF_ug_PM25_rh50.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;1;NMVOC;9.364740e-06;1.014028e-04;3.845345e-06;9.235185e+00;4.682370e-06;1.217672e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;1;NOx;3.813942e-03;4.129795e-02;5.719266e-05;9.235185e+00;1.906971e-03;3.334293e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;1;PPM25;3.698728e-04;4.005040e-03;3.955548e-04;9.235185e+00;1.849364e-04;4.675367e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;1;SOx;1.126684e-04;1.219990e-03;6.799703e-05;9.235185e+00;5.633418e-05;8.284800e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;2;NH3;3.811007e-04;4.126617e-03;1.609127e-04;9.235185e+00;1.905503e-04;1.184184e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;2;NMVOC;2.836307e-04;3.071197e-03;2.000793e-06;9.235185e+00;1.418154e-04;7.087958e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;2;NOx;1.194126e-03;1.293018e-02;2.572651e-05;9.235185e+00;5.970631e-04;2.320809e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;2;PPM25;7.302670e-03;7.907444e-02;3.955548e-04;9.235185e+00;3.651335e-03;9.230920e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;2;SOx;1.237665e-03;1.340162e-02;6.799703e-05;9.235185e+00;6.188324e-04;9.100873e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;3;NH3;3.042770e-03;3.294758e-02;1.849450e-04;9.235185e+00;1.521385e-03;8.226147e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;3;NMVOC;3.522734e-04;3.814471e-03;2.305302e-06;9.235185e+00;1.761367e-04;7.640504e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;3;NOx;1.237988e-02;1.340512e-01;3.115819e-05;9.235185e+00;6.189940e-03;1.986617e+02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;3;PPM25;2.353563e-02;2.548474e-01;3.526414e-04;9.235185e+00;1.176781e-02;3.337048e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;3;SOx;7.535303e-04;8.159342e-03;7.869494e-05;9.235185e+00;3.767652e-04;4.787667e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;4;NH3;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;4;NMVOC;4.717120e-04;5.107771e-03;2.415511e-06;9.235185e+00;2.358560e-04;9.764227e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;4;NOx;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;4;PPM25;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;4;SOx;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;5;NH3;6.255792e-02;6.773868e-01;1.919348e-04;9.235185e+00;3.127896e-02;1.629666e+02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;5;NMVOC;4.540934e-03;4.916993e-02;2.440332e-06;9.235185e+00;2.270467e-03;9.303924e+02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;5;NOx;1.870659e-03;2.025578e-02;3.202000e-05;9.235185e+00;9.353295e-04;2.921079e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;5;PPM25;2.400654e-02;2.599465e-01;4.869028e-04;9.235185e+00;1.200327e-02;2.465229e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;5;SOx;8.799840e-05;9.528602e-04;8.106016e-05;9.235185e+00;4.399920e-05;5.427969e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;6;NH3;5.748134e-03;6.224167e-02;1.518821e-04;9.235185e+00;2.874067e-03;1.892301e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;6;NMVOC;1.212082e-03;1.312461e-02;2.293942e-06;9.235185e+00;6.060411e-04;2.641919e+02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;6;NOx;3.343546e-02;3.620443e-01;2.663299e-05;9.235185e+00;1.671773e-02;6.277076e+02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;6;PPM25;1.783311e-02;1.930996e-01;4.100647e-04;9.235185e+00;8.916553e-03;2.174426e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;6;SOx;1.713268e-04;1.855153e-03;6.602693e-05;9.235185e+00;8.566341e-05;1.297401e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;7;NH3;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;7;NMVOC;2.029697e-05;2.197787e-04;2.805169e-06;9.235185e+00;1.014849e-05;3.617780e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;7;NOx;1.855052e-02;2.008679e-01;4.777730e-05;9.235185e+00;9.275259e-03;1.941353e+02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;7;PPM25;1.036337e-02;1.122162e-01;7.667238e-04;9.235185e+00;5.181687e-03;6.758219e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;7;SOx;1.711282e-03;1.853002e-02;1.415318e-04;9.235185e+00;8.556409e-04;6.045573e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;8;NH3;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;8;NMVOC;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;8;NOx;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;8;PPM25;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;8;SOx;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;9;NH3;7.445212e-06;8.061790e-05;1.623077e-04;9.235185e+00;3.722606e-06;2.293548e-02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;9;NMVOC;2.029635e-04;2.197720e-03;2.413096e-06;9.235185e+00;1.014818e-04;4.205458e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;9;NOx;5.638318e-03;6.105257e-02;2.911367e-05;9.235185e+00;2.819159e-03;9.683283e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;9;PPM25;3.446283e-03;3.731689e-02;4.250659e-04;9.235185e+00;1.723142e-03;4.053822e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;9;SOx;9.792648e-06;1.060363e-04;7.190091e-05;9.235185e+00;4.896324e-06;6.809823e-02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;10;NH3;7.870061e-04;8.521823e-03;1.246882e-04;9.235185e+00;3.935031e-04;3.155896e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;10;NMVOC;1.976123e-05;2.139776e-04;1.582636e-06;9.235185e+00;9.880614e-06;6.243139e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;10;NOx;2.075548e-05;2.247435e-04;2.008399e-05;9.235185e+00;1.037774e-05;5.167170e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_Comm;10;PPM25;1.453408e-03;1.573773e-02;2.881892e-04;9.235185e+00;7.267042e-04;2.521622e+00
