Source apportionment for 150 cities
commit BD handover version 23 March 2020
emissions cdf = ../20210325_SRR/1_base_emissions/BCemis_emepV434_camsV42_pm25_no2_o3.nc
concentrations cdf = ../20210325_SRR/2_base_concentrations/BCconc_emepV434_camsv42_SURF_ug_PM25_rh50.nc
model folder = ../20210325_SRR/3_source_receptors/SR_SURF_ug_PM25_rh50.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_camsV42;PM25;Cardiff;UK_International;12;NH3;3.546631e-01;5.589911e+00;1.541115e-07;6.344700e+00;1.773315e-01;1.150670e+06
sherpa_camsV42;PM25;Cardiff;UK_International;12;NMVOC;-3.432423e-04;-5.409906e-03;-2.005535e-09;6.344700e+00;-1.716211e-04;8.557376e+04
sherpa_camsV42;PM25;Cardiff;UK_International;12;NOx;6.200856e-05;9.773285e-04;9.062131e-10;6.344700e+00;3.100428e-05;3.421301e+04
sherpa_camsV42;PM25;Cardiff;UK_International;12;PPM;4.914241e-04;7.745427e-03;5.679642e-09;6.344700e+00;2.457121e-04;4.326189e+04
sherpa_camsV42;PM25;Cardiff;UK_International;12;SOx;1.113543e-05;1.755076e-04;3.525706e-09;6.344700e+00;5.567714e-06;1.579177e+03
sherpa_camsV42;PM25;Cardiff;UK_International;1;NH3;1.161250e-03;1.830268e-02;1.163965e-07;6.344700e+00;5.806252e-04;4.988340e+03
sherpa_camsV42;PM25;Cardiff;UK_International;1;NMVOC;-1.783726e-04;-2.811365e-03;-2.433311e-09;6.344700e+00;-8.918632e-05;3.665225e+04
sherpa_camsV42;PM25;Cardiff;UK_International;1;NOx;2.359497e-01;3.718847e+00;1.096387e-07;6.344700e+00;1.179749e-01;1.076033e+06
sherpa_camsV42;PM25;Cardiff;UK_International;1;PPM;3.425141e-02;5.398428e-01;2.485877e-07;6.344700e+00;1.712570e-02;6.889201e+04
sherpa_camsV42;PM25;Cardiff;UK_International;1;SOx;2.227499e-01;3.510803e+00;5.092093e-08;6.344700e+00;1.113750e-01;2.187214e+06
sherpa_camsV42;PM25;Cardiff;UK_International;2;NH3;1.354801e-02;2.135328e-01;1.267818e-07;6.344700e+00;6.774007e-03;5.343044e+04
sherpa_camsV42;PM25;Cardiff;UK_International;2;NMVOC;-4.758039e-03;-7.499234e-02;-4.775684e-09;6.344700e+00;-2.379020e-03;4.981526e+05
sherpa_camsV42;PM25;Cardiff;UK_International;2;NOx;4.920763e-02;7.755707e-01;3.132428e-08;6.344700e+00;2.460382e-02;7.854552e+05
sherpa_camsV42;PM25;Cardiff;UK_International;2;PPM;2.842771e-02;4.480544e-01;5.313874e-08;6.344700e+00;1.421385e-02;2.674857e+05
sherpa_camsV42;PM25;Cardiff;UK_International;2;SOx;1.114362e-01;1.756366e+00;6.278826e-08;6.344700e+00;5.571808e-02;8.873965e+05
sherpa_camsV42;PM25;Cardiff;UK_International;3;NH3;1.298722e-02;2.046939e-01;1.407047e-07;6.344700e+00;6.493608e-03;4.615059e+04
sherpa_camsV42;PM25;Cardiff;UK_International;3;NMVOC;-2.365111e-03;-3.727695e-02;-1.645251e-09;6.344700e+00;-1.182555e-03;7.187691e+05
sherpa_camsV42;PM25;Cardiff;UK_International;3;NOx;1.974457e-02;3.111979e-01;2.539491e-08;6.344700e+00;9.872286e-03;3.887506e+05
